alert_id,investigation_id,rule_id,alert_name,first_seen,last_seen,hostname,source_ip,affected_username,target_username,event_count,severity,risk_score,confidence,description,evidence_event_ids,possible_impact,recommended_actions,status,analyst_notes,created_at,updated_at
alert-457c60e2898b,inv-6d8cf13d7b5a,PERSIST-002,Remote script piped to shell,2026-03-10T03:20:04,2026-03-10T03:20:04,webserver01,,,,1,High,20,0.85,Remote script execution pattern detected in logs.,['event-16768ca8e3e1'],Payload execution and persistence.,"['Inspect downloaded URL', 'Block domain after approval', 'Reimage if compromise is confirmed']",New,,2026-08-04T07:21:52.090094,2026-08-04T07:21:52.090099
alert-7c1bab27855e,inv-6d8cf13d7b5a,PERSIST-002,Remote script piped to shell,2026-03-10T03:30:06,2026-03-10T03:30:06,webserver01,,,,1,High,20,0.85,Remote script execution pattern detected in logs.,['event-a8218e1da797'],Payload execution and persistence.,"['Inspect downloaded URL', 'Block domain after approval', 'Reimage if compromise is confirmed']",New,,2026-08-04T07:21:52.090186,2026-08-04T07:21:52.090190
alert-38b9bd3fb353,inv-6d8cf13d7b5a,PERSIST-002,Remote script piped to shell,2026-03-10T03:40:11,2026-03-10T03:40:11,webserver01,,,,1,High,20,0.85,Remote script execution pattern detected in logs.,['event-922969232a32'],Payload execution and persistence.,"['Inspect downloaded URL', 'Block domain after approval', 'Reimage if compromise is confirmed']",New,,2026-08-04T07:21:52.090260,2026-08-04T07:21:52.090263
